Rank,Team,Seed,Conf,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,OppAdjEM,OppAdjEM Rank,OppO,OppO Rank,OppD,OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
1,Duke,1,ACC,35,5,33.29,121.0,1,87.7,5,64.7,229,.009,145,11.53,4,107.9,19,96.4,1,2.50,94
2,Kansas,1,B12,33,3,31.85,120.4,2,88.5,8,67.2,105,.038,83,9.53,16,108.2,16,98.7,32,1.13,125
3,Syracuse,1,BE,30,5,27.62,118.5,6,90.9,14,68.7,59,-.008,191,8.62,36,108.5,10,99.8,67,-2.96,246
4,Kentucky,1,SEC,35,3,26.54,114.9,22,88.3,6,68.3,66,.060,43,7.06,55,106.5,50,99.5,57,-1.28,194
5,West Virginia,2,BE,31,7,25.54,117.2,12,91.7,21,62.6,296,.057,45,12.58,1,110.0,1,97.5,7,5.45,50
6,Kansas St.,2,B12,29,8,25.52,116.1,15,90.6,12,69.4,36,-.008,192,11.99,2,109.5,2,97.5,10,2.37,96
7,Ohio St.,2,B10,29,8,24.99,117.5,8,92.5,26,64.6,232,.007,152,7.88,49,106.3,60,98.4,26,-2.92,243
8,Baylor,3,B12,28,8,24.95,119.2,5,94.3,43,64.5,235,-.021,234,10.59,8,108.3,13,97.7,14,-2.79,237
9,Wisconsin,4,B10,24,9,23.56,115.2,20,91.6,19,59.2,339,-.013,202,8.69,33,107.9,18,99.2,49,1.01,128
10,BYU,7,MWC,30,6,23.27,117.3,10,94.0,37,71.1,15,.012,130,3.88,98,104.9,96,101.0,99,-0.03,148
11,Georgetown,3,BE,23,11,22.64,116.8,13,94.2,42,65.8,182,-.035,266,11.55,3,109.0,4,97.4,6,3.35,79
12,Butler,5,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,.032,91,6.85,60,106.7,45,99.9,68,11.11,4
13,Maryland,4,ACC,24,9,22.37,118.3,7,95.9,57,68.7,53,-.023,241,8.87,28,106.7,46,97.8,15,-4.35,276
14,California,8,P10,24,11,22.15,119.6,3,97.4,76,67.1,107,-.043,282,9.03,25,106.5,53,97.5,8,8.46,16
15,Purdue,4,B10,29,6,22.05,109.8,65,87.7,4,66.2,161,.070,33,8.81,30,107.8,21,99.0,45,-1.26,193
16,Texas A&M,5,B12,24,10,21.33,112.6,37,91.2,17,64.3,243,-.005,182,11.51,5,109.4,3,97.9,16,0.15,141
17,Villanova,2,BE,25,8,21.24,117.2,11,96.0,59,71.2,12,.025,103,10.03,12,108.7,7,98.7,33,-0.91,171
18,Xavier,6,A10,26,9,20.87,115.5,18,94.6,47,68.9,47,.010,139,8.04,46,106.2,64,98.2,19,7.27,30
19,Texas,8,B12,24,10,20.75,113.9,24,93.1,30,71.5,11,-.014,209,9.01,27,107.2,35,98.2,18,-1.32,195
20,Michigan St.,5,B10,28,9,20.13,112.8,33,92.7,27,65.3,203,.027,96,9.03,24,107.5,26,98.5,29,-0.94,173
21,Temple,5,A10,29,6,20.12,107.8,93,87.7,3,60.4,332,.076,26,6.07,67,106.4,57,100.3,86,5.68,49
22,Missouri,10,B12,23,11,19.99,111.5,46,91.5,18,68.8,51,-.035,264,8.17,44,107.1,39,98.9,43,-6.10,306
23,Utah St.,12,WAC,27,8,19.90,116.0,16,96.1,62,59.8,336,-.026,244,1.81,136,105.0,91,103.2,181,0.16,140
24,Marquette,6,BE,22,12,19.65,115.1,21,95.5,55,62.3,305,-.064,312,9.05,23,108.0,17,98.9,44,-6.52,311
25,Clemson,7,ACC,21,11,19.28,110.9,50,91.6,20,67.6,87,-.041,277,8.76,31,106.3,61,97.6,11,-2.85,239
26,Dayton,,A10,25,12,18.92,108.1,86,89.1,9,65.5,195,-.097,340,6.43,64,105.8,71,99.3,53,3.50,74
27,Northern Iowa,9,MVC,30,5,18.87,109.6,67,90.8,13,58.9,340,.034,85,4.08,92,105.7,73,101.6,115,-1.58,200
28,Pittsburgh,3,BE,25,9,18.66,111.4,47,92.8,28,61.3,319,.041,76,7.87,50,107.7,23,99.8,66,-2.76,233
29,Saint Mary's,10,WCC,28,6,18.59,116.5,14,97.9,85,66.2,158,.038,82,2.72,115,105.4,81,102.7,166,1.18,123
